ID,name,FoodGroup,Calories,Fat,Protein,Carbohydrate
1,Bagel,Baked Foods,264,1.32,10.56,52.38
2,Bagel (Oat Bran),Baked Foods,255,1.2,10.7,53.3
3,Bagel Multigrain,Baked Foods,250,1.53,10.2,48.89
4,Bagel Multigrain With Raisins,Baked Foods,255,1.42,9.49,51.92
5,Bagel Oat Bran,Baked Foods,250,1.53,10.2,48.89
6,Bagel Pumpernickel,Baked Foods,250,1.53,10.2,48.89
7,Bagel Wheat,Baked Foods,250,1.53,10.2,48.89
8,Bagel Wheat Bran,Baked Foods,250,1.53,10.2,48.89
9,Bagel Wheat With Fruit And Nuts,Baked Foods,261,2.69,9.53,50.82
10,Bagel Wheat With Raisins,Baked Foods,255,1.42,9.49,51.92
11,Bagel Whole Grain White,Baked Foods,250,1.53,10.2,48.89
12,Bagel Whole Wheat,Baked Foods,250,1.53,10.2,48.89
13,Bagel Whole Wheat With Raisins,Baked Foods,255,1.42,9.49,51.92
14,Bagel With Fruit Other Than Raisins,Baked Foods,243,1.25,9.55,48.36
15,Bagel With Raisins,Baked Foods,268,1.23,9.81,55.06
16,Bagels,Baked Foods,264,1.32,10.56,52.38
17,Bagels Multigrain,Baked Foods,241,1.24,9.9,47.47
18,Bagels Plain Enriched Without Calcium Propionate (Includes Onion Poppy Sesame),Baked Foods,275,1.6,10.5,53.4
19,Bagels Plain Unenriched With Calcium Propionate (Includes Onion Poppy Sesame),Baked Foods,275,1.6,10.5,53.4
20,Bagels Plain Unenriched Without Calcium Propionate(Includes Onion Poppy Sesame),Baked Foods,275,1.6,10.5,53.4
21,Bagels Wheat,Baked Foods,250,1.53,10.2,48.89
22,Bagels Whole Grain White,Baked Foods,255,0,9.3,54.52
23,Baklava,Baked Foods,428,29.13,6.64,37.53
24,Basbousa,Baked Foods,308,10.4,4.99,50.13
25,Biscuit Baking Powder Or Buttermilk Type Made From Home Recipe,Baked Foods,354,16.34,6.98,44.64
26,Biscuit Baking Powder Or Buttermilk Type Made From Mix,Baked Foods,324,11.77,7.16,46.78
27,Biscuit Cheese,Baked Foods,346,13.61,8.13,48
28,Biscuit Cinnamon-Raisin,Baked Foods,345,12.5,5.77,53.43
29,Biscuit Dough Fried,Baked Foods,350,17.43,6.55,42.72
30,Biscuit Whole Wheat,Baked Foods,312,11.97,9.37,45.93
31,Biscuits Mixed Grain Refrigerated Dough,Baked Foods,263,5.6,6.1,47.4
32,Biscuits Plain Or Buttermilk Dry Mix,Baked Foods,428,15.4,8,63.4
33,Biscuits Plain Or Buttermilk Frozen Baked,Baked Foods,338,11.03,6.2,53.87
34,Biscuits Plain Or Buttermilk Prepared From Recipe,Baked Foods,353,16.3,7,44.6
35,Biscuits Plain Or Buttermilk Refrigerated Dough Higher Fat,Baked Foods,307,10.58,6.66,46.32
36,Biscuits Plain Or Buttermilk Refrigerated Dough Higher Fat Baked,Baked Foods,324,11.22,6.79,49.05
37,Biscuits Plain Or Buttermilk Refrigerated Dough Lower Fat,Baked Foods,270,7.83,6.7,43.7
38,Biscuits Plain Or Buttermilk Refrigerated Dough Lower Fat Baked,Baked Foods,319,9.1,7.8,51.6
39,Blueberry Pie,Baked Foods,232,10,1.8,34.9
40,Bread Banana Prepared From Recipe Made With Margarine,Baked Foods,326,10.5,4.3,54.6
41,Bread Barley Toasted,Baked Foods,301,4.98,11.72,52.24
42,Bread Black Toasted,Baked Foods,275,3.41,9.56,52.2
43,Bread Boston Brown Canned,Baked Foods,195,1.5,5.2,43.3
44,Bread Caressed Puerto Rican Style,Baked Foods,273,4.57,7.76,49.34
45,Bread Caressed Toasted Puerto Rican Style,Baked Foods,300,5.02,8.53,54.22
46,Bread Chapati Or Roti Plain Commercially Prepared,Baked Foods,297,7.45,11.25,46.36
47,Bread Chapati Or Roti Whole Wheat Commercially Prepared Frozen,Baked Foods,299,9.2,7.85,46.13
48,Bread Cheese,Baked Foods,408,20.83,10.42,44.83
49,Bread Cheese Toasted,Baked Foods,448,22.89,11.45,49.26
50,Bread Cinnamon,Baked Foods,253,5.29,7.05,44.38
51,Bread Cornbread Dry Mix Enriched (Includes Corn Muffin Mix),Baked Foods,418,12.2,7,69.5
52,Bread Cornbread Dry Mix Prepared With 2% Milk 80% Margarine And Eggs,Baked Foods,330,9.58,6.59,54.46
53,Bread Cornbread Dry Mix Unenriched (Includes Corn Muffin Mix),Baked Foods,418,12.2,7,69.5
54,Bread Cornbread Prepared From Recipe Made With Low Fat (2%) Milk,Baked Foods,266,7.1,6.7,43.5
55,Bread Cornmeal And Molasses,Baked Foods,283,3.81,6.7,55.21
56,Bread Cornmeal And Molasses Toasted,Baked Foods,311,4.19,7.37,60.67
57,Bread Cracked-Wheat,Baked Foods,260,3.9,8.7,49.5
58,Bread Crumbs Dry Grated Plain,Baked Foods,395,5.3,13.35,71.98
59,Bread Crumbs Dry Grated Seasoned,Baked Foods,383,5.48,14.13,68.49
60,Bread Cuban Toasted,Baked Foods,299,2.66,11.81,57.01
61,Bread Dough Fried,Baked Foods,382,18.81,8.02,44.83
62,Bread Egg,Baked Foods,287,6,9.5,47.8
63,Bread Egg Challah Toasted,Baked Foods,315,6.59,10.44,52.53
64,Bread Egg Toasted,Baked Foods,315,6.6,10.5,52.6
65,Bread French Or Vienna Toasted (Includes Sourdough),Baked Foods,319,2.14,13,61.93
66,Bread French Or Vienna Whole Wheat,Baked Foods,239,1.04,8.33,49.1
67,Bread French Or Vienna Whole Wheat Toasted,Baked Foods,263,1.14,9.15,53.96
68,Bread Fruit,Baked Foods,362,17.33,5.96,47.37
69,Bread Gluten Free Toasted,Baked Foods,273,5.76,4.74,50.31
70,Bread Gluten-Free White Made With Potato Extract Rice Starch And Rice Flour,Baked Foods,320,10.7,3.13,52.83
71,Bread Gluten-Free White Made With Rice Flour Corn Starch And/or Tapioca,Baked Foods,248,5.24,4.31,45.78
72,Bread Gluten-Free White Made With Tapioca Starch And Brown Rice Flour,Baked Foods,298,8.02,5.4,51.15
73,Bread Gluten-Free Whole Grain Made With Tapioca Starch And Brown Rice Flour,Baked Foods,309,9.34,7.25,49.09
74,Bread High Protein Toasted,Baked Foods,269,2.42,13.3,48.13
75,Bread Irish Soda,Baked Foods,297,8.93,6.27,49.88
76,Bread Irish Soda Prepared From Recipe,Baked Foods,290,5,6.6,56
77,Bread Italian,Baked Foods,259,2.73,9.49,48.11
78,Bread Italian Grecian Armenian,Baked Foods,271,3.5,8.8,50.1
79,Bread Italian Grecian Armenian Toasted,Baked Foods,298,3.85,9.67,55.06
80,Bread Lard Puerto Rican Style,Baked Foods,280,2.92,6.97,55.51
81,Bread Lard Toasted Puerto Rican Style,Baked Foods,311,3.25,7.74,61.67
82,Bread Made From Home Recipe Or Purchased At A Bakery Ns As To Major Flour,Baked Foods,270,3.42,8.62,50.09
83,Bread Made From Home Recipe Or Purchased At A Bakery Toasted Ns As To Major Flour,Baked Foods,297,3.76,9.47,55.04
84,Bread Marble Rye And Pumpernickel Toasted,Baked Foods,285,3.63,9.34,53.08
85,Bread Multi-Grain (Includes Whole-Grain),Baked Foods,265,4.23,13.36,43.34
86,Bread Multigrain Toasted,Baked Foods,291,4.65,14.68,47.63
87,Bread Multigrain With Raisins,Baked Foods,268,3.85,12.33,46.92
88,Bread Multigrain With Raisins Toasted,Baked Foods,295,4.23,13.55,51.56
89,Bread Naan Plain Commercially Prepared Refrigerated,Baked Foods,291,5.65,9.62,50.43
90,Bread Naan Whole Wheat Commercially Prepared Refrigerated,Baked Foods,286,6.7,10.2,46.21
91,Bread Native Water Puerto Rican Style,Baked Foods,277,3.26,8.78,51.98
92,Bread Native Water Toasted Puerto Rican Style,Baked Foods,305,3.58,9.65,57.12
93,Bread Nut,Baked Foods,392,19.24,6.49,49.72
94,Bread Oat Bran,Baked Foods,236,4.4,10.4,39.8
95,Bread Oat Bran Toasted,Baked Foods,259,4.8,11.4,43.7
96,Bread Oatmeal,Baked Foods,269,4.4,8.4,48.5
97,Bread Oatmeal Toasted,Baked Foods,292,4.8,9.2,52.7
98,Bread Onion,Baked Foods,236,2.93,7.52,44.17
99,Bread Onion Toasted,Baked Foods,260,3.22,8.26,48.54
100,Bread Pan Dulce Sweet Yeast Bread,Baked Foods,367,11.58,9.42,56.38
101,Bread Paratha Whole Wheat Commercially Prepared Frozen,Baked Foods,326,13.2,6.36,45.35
102,Bread Pita Toasted,Baked Foods,302,1.32,10,61.21
103,Bread Pita Wheat Or Cracked Wheat Toasted,Baked Foods,288,1.88,10.77,61.42
104,Bread Pita White Unenriched,Baked Foods,275,1.2,9.1,55.7
105,Bread Pita Whole Wheat Toasted,Baked Foods,288,1.88,10.77,61.42
106,Bread Pita With Fruit,Baked Foods,279,1.09,8.2,59.19
107,Bread Pita With Fruit Toasted,Baked Foods,306,1.2,9.02,65.04
108,Bread Potato,Baked Foods,266,3.13,12.5,47.07
109,Bread Potato Toasted,Baked Foods,292,3.44,13.74,51.72
110,Bread Pound Cake Type Pan De Torta Salvadoran,Baked Foods,390,17.45,7.06,51.29
111,Bread Protein (Includes Gluten),Baked Foods,245,2.2,12.1,43.8
112,Bread Protein (Includes Gluten) Toasted,Baked Foods,270,2.4,13.2,48.1
113,Bread Pumpernickel,Baked Foods,250,3.1,8.7,47.5
114,Bread Pumpernickel Toasted,Baked Foods,275,3.41,9.56,52.2
115,Bread Pumpkin,Baked Foods,300,12.45,4.84,43.08
